'Tabelle 2.2.'26':';;;;;;;Indikator 2.24;;;;Metadaten
"Empfängerhaushalte von Wohngeld in Berlin 2003 - 2005 (Stand: 31.12.)
nach Bezirken";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Bezirk;Empfängerhaushalte von Wohngeld;;;;;;;;;;
;absolut;in %;"je 1.000
Privat-
haus-
halte 1)";absolut;in %;"je 1.000
Privat-
haus-
halte 1)";absolut;in %;"je 1.000
Privat-
haus-
halte 1)";;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;2003;;;2004;;;2005;;;;
;;;;;;;;;;;
Mitte;33.028    ;12,8   ;18     ;34.173    ;12,4   ;18     ;4.479    ;10,3   ;24     ;;
Friedrichshain-Kreuzberg;30.517    ;11,9   ;19     ;30.965    ;11,2   ;19     ;4.597    ;10,6   ;28     ;;
Pankow;24.866    ;9,7   ;12     ;28.342    ;10,3   ;14     ;5.534    ;12,7   ;26     ;;
Charlottenburg-Wilmersdorf;15.763    ;6,1   ;8     ;18.419    ;6,7   ;10     ;2.777    ;6,4   ;15     ;;
Spandau;18.151    ;7,1   ;16     ;17.737    ;6,4   ;15     ;2.358    ;5,4   ;20     ;;
Steglitz-Zehlendorf;10.708    ;4,2   ;7     ;11.507    ;4,2   ;7     ;1.923    ;4,4   ;12     ;;
Tempelhof-Schöneberg;19.481    ;7,6   ;10     ;21.601    ;7,8   ;12     ;3.216    ;7,4   ;18     ;;
Neukölln;32.391    ;12,6   ;20     ;36.495    ;13,2   ;23     ;4.142    ;9,5   ;25     ;;
Treptow-Köpenick;15.178    ;5,9   ;12     ;16.087    ;5,8   ;13     ;3.628    ;8,4   ;29     ;;
Marzahn-Hellersdorf;21.265    ;8,3   ;17     ;22.639    ;8,2   ;18     ;3.931    ;9,1   ;31     ;;
Lichtenberg;20.658    ;8,0   ;15     ;22.010    ;8,0   ;16     ;4.338    ;10,0   ;31     ;;
Reinickendorf;15.110    ;5,9   ;12     ;16.159    ;5,8   ;13     ;2.499    ;5,8   ;20     ;;
;;;;;;;;;;;
Berlin 2);257.344    ;100,0   ;14     ;276.318    ;100,0   ;15     ;43.422    ;100,0   ;23     ;;
;;;;;;;;;;;
;;;;;;;;;;;
1) Privathaushalte: Ergebnisse des Mikrozensus.;;;;;;;;;;;
2) Einschließlich Wohngeldempfänger, die von der Hauptfürsorgestelle betreut werden.;;;;;;;;;;;
(Datenquelle: AfS Berlin-Brandenburg / Berechnung: SenGesUmV - I A -);;;;;;;;;;;